label,title,description,symptoms,causes,treatment,prevention,prognosis,economic_impact,reference
Pepper__bell___Bacterial_spot,Pepper - bell Bacterial spot,bell Bacterial spot is a plant disease affecting pepper plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Pepper__bell___healthy,Pepper - Healthy,No visible disease symptoms. The pepper plant appears healthy with normal leaf color and structure.,"• Deep green, uniform leaf color\n• Strong, upright plant structure\n• Normal leaf size and shape\n• No signs of wilting or yellowing",• Optimal growing conditions\n• Proper nutrition and watering\n• Good air circulation\n• Absence of pathogenic organisms,• Continue regular monitoring\n• Maintain consistent watering\n• Apply balanced fertilizer as needed\n• Ensure proper plant support,"• Use certified, disease-free seeds\n• Practice crop rotation\n• Maintain optimal soil conditions\n• Monitor weather conditions",Excellent. Healthy plants can achieve maximum yield potential with continued proper management.,Healthy plants maximize economic returns with premium quality produce and minimal input costs.,"Standard Agricultural Best Practices, University Extension Guidelines"
Potato___Early_blight,Potato - Early blight,Early blight is a plant disease affecting potato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Potato___Late_blight,Potato - Late blight,Late blight is a plant disease affecting potato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Potato___healthy,Potato - Healthy,No visible disease symptoms. The potato plant appears healthy with normal leaf color and structure.,"• Deep green, uniform leaf color\n• Strong, upright plant structure\n• Normal leaf size and shape\n• No signs of wilting or yellowing",• Optimal growing conditions\n• Proper nutrition and watering\n• Good air circulation\n• Absence of pathogenic organisms,• Continue regular monitoring\n• Maintain consistent watering\n• Apply balanced fertilizer as needed\n• Ensure proper plant support,"• Use certified, disease-free seeds\n• Practice crop rotation\n• Maintain optimal soil conditions\n• Monitor weather conditions",Excellent. Healthy plants can achieve maximum yield potential with continued proper management.,Healthy plants maximize economic returns with premium quality produce and minimal input costs.,"Standard Agricultural Best Practices, University Extension Guidelines"
Tomato_Bacterial_spot,Tomato - Bacterial spot,Bacterial spot is a plant disease affecting tomato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Tomato_Early_blight,Tomato - Early blight,Early blight is a plant disease affecting tomato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Tomato___Late_blight,Tomato - Late Blight,Late blight is a devastating fungal disease affecting tomato plants. This condition can significantly impact plant health and crop yields.,"• Dark, water-soaked lesions on leaves and stems\n• White fungal growth on leaf undersides\n• Brown to black lesions that spread rapidly\n• Fruit rot with dark, firm lesions\n• Plant collapse in severe cases","• Phytophthora infestans fungus\n• High humidity (>90%) conditions\n• Cool temperatures (60-70°F)\n• Poor air circulation\n• Overhead watering or rain","• Remove and destroy affected plant parts immediately\n• Apply copper-based fungicides preventively\n• Use systemic fungicides (chlorothalonil, mancozeb)\n• Improve air circulation around plants\n• Avoid overhead watering","• Use certified disease-free seeds and transplants\n• Practice crop rotation (avoid tomatoes/potatoes for 3-4 years)\n• Ensure proper plant spacing for air circulation\n• Use drip irrigation instead of overhead watering\n• Apply preventive fungicide sprays in high-risk conditions",Poor to fair. Can cause complete crop loss if untreated. Early detection and aggressive treatment essential.,Can cause 50-100% yield loss. Major economic threat to tomato production worldwide. Estimated billions in annual losses globally.,"University Extension Services, Plant Pathology Textbooks, USDA Guidelines"
Tomato_Leaf_Mold,Tomato - Leaf Mold,Leaf Mold is a plant disease affecting tomato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
Tomato_Septoria_leaf_spot,Tomato - Septoria leaf spot,Septoria leaf spot is a plant disease affecting tomato plants. This condition can significantly impact plant health and crop yields.,• Visible lesions or spots on leaves\n• Discoloration of plant tissues\n• Potential leaf yellowing or browning\n• Reduced plant vigor,"• Pathogenic organisms (fungi, bacteria, or viruses)\n• Environmental stress conditions\n• Poor air circulation\n• Excessive moisture",• Remove affected plant parts immediately\n• Apply appropriate fungicides or bactericides\n• Improve air circulation\n• Adjust watering practices,• Use certified disease-free seeds\n• Practice crop rotation (3-4 years)\n• Ensure proper plant spacing\n• Avoid overhead watering,Good with early detection and proper treatment. Yield losses can be minimized with integrated management.,Can cause significant yield reduction if left untreated. Early intervention reduces economic losses.,"Plant Pathology Guidelines, Agricultural Extension Services"
